work_location,publish_time,position_category,position_link,hiring_number,position_name
深圳,2017-12-19,内容编辑类,http://hr.tencent.com/position_detail.php?id=34003&keywords=&tid=0&lid=0,2,SNG01-QQ内容运营（深圳）
深圳,2017-12-19,产品/项目类,http://hr.tencent.com/position_detail.php?id=35226&keywords=&tid=0&lid=0,1,22989-22989-腾讯云PAAS产品架构师（深圳）
深圳,2017-12-19,产品/项目类,http://hr.tencent.com/position_detail.php?id=35215&keywords=&tid=0&lid=0,1,18402-【绝地求生：刺激战场】韩语海外PM（深圳）
北京,2017-12-19,内容编辑类,http://hr.tencent.com/position_detail.php?id=35204&keywords=&tid=0&lid=0,2,OMG148-房产记者（北京）
深圳,2017-12-19,技术类,http://hr.tencent.com/position_detail.php?id=35189&keywords=&tid=0&lid=0,3,22989-云计算研发工程师（深圳）
上海,2017-12-19,产品/项目类,http://hr.tencent.com/position_detail.php?id=35175&keywords=&tid=0&lid=0,1,21062-游戏音频设计师（上海）
深圳,2017-12-19,技术类,http://hr.tencent.com/position_detail.php?id=35167&keywords=&tid=0&lid=0,1,22989-腾讯云中间件及Severless方向高级专项技术支持工程师
深圳,2017-12-19,产品/项目类,http://hr.tencent.com/position_detail.php?id=35156&keywords=&tid=0&lid=0,1,19881-王者荣耀电竞市场数据分析（深圳）
深圳,2017-12-19,产品/项目类,http://hr.tencent.com/position_detail.php?id=35148&keywords=&tid=0&lid=0,1,21226-高级项目管理经理（深圳）
广州,2017-12-19,技术类,http://hr.tencent.com/position_detail.php?id=35129&keywords=&tid=0&lid=0,2,WXG06-143 微信支付后台策略安全工程师
深圳,2017-12-19,技术类,http://hr.tencent.com/position_detail.php?id=35118&keywords=&tid=0&lid=0,2,20718-嵌入式系统高级工程师
深圳,2017-12-19,市场类,http://hr.tencent.com/position_detail.php?id=33537&keywords=&tid=0&lid=0,1,22990-行业大客户销售总监-营销云（深圳）
广州,2017-12-19,产品/项目类,http://hr.tencent.com/position_detail.php?id=31120&keywords=&tid=0&lid=0,1,25187-212 企业微信高级产品策划经理（广州）
北京,2017-12-19,产品/项目类,http://hr.tencent.com/position_detail.php?id=31701&keywords=&tid=0&lid=0,1,23671-企鹅号产品运营（北京）
深圳,2017-12-19,职能类,http://hr.tencent.com/position_detail.php?id=31711&keywords=&tid=0&lid=0,1,HY-高管秘书（深圳）
深圳,2017-12-19,产品/项目类,http://hr.tencent.com/position_detail.php?id=33696&keywords=&tid=0&lid=0,2,24491-王者荣耀全球版-韩国市场UA（首尔）
深圳,2017-12-18,技术类,http://hr.tencent.com/position_detail.php?id=35111&keywords=&tid=0&lid=0,1,HY1-游戏测试工程师（深圳）
深圳,2017-12-18,技术类,http://hr.tencent.com/position_detail.php?id=35097&keywords=&tid=0&lid=0,3,TEG14-云数据库高级研发工程师（深圳/北京/武汉）
深圳,2017-12-18,产品/项目类,http://hr.tencent.com/position_detail.php?id=35083&keywords=&tid=0&lid=0,1,15571-射击游戏系统策划（深圳）
深圳,2017-12-18,技术类,http://hr.tencent.com/position_detail.php?id=27904&keywords=&tid=0&lid=0,1,MIG09-QQ浏览器搜索算法高级研究员
深圳,2017-12-18,产品/项目类,http://hr.tencent.com/position_detail.php?id=35095&keywords=&tid=0&lid=0,1,SNG16-QQ音乐产品经理（深圳）
北京,2017-12-18,产品/项目类,http://hr.tencent.com/position_detail.php?id=29434&keywords=&tid=0&lid=0,2,SA-腾讯社交广告KA效果广告行业运营经理（北京）
