salary,city,workYear,district,companySize,companyFullName,industryField,companyLabelList,positionLables,firstType,positionAdvantage,positionName,education,financeStage,createTime
15k-25k,上海,3-5年,浦东新区,15-50人,上海哈杜科技有限公司,金融,,"redis,",开发/测试/运维类,"公司氛围好,扁平管理,年度旅游,带薪年假",Python,本科,A轮,2017-12-20 09:47:31
15k-30k,上海,3-5年,杨浦区,少于15人,源杉信息技术（上海）有限公司,"数据服务,金融","股票期权,美女多,领导好,扁平管理,","后端开发,Shell,Java,分布式,架构,",开发/测试/运维类,"人工智能,股票激励,大牛团队,发展空间大",Python开发工程师,本科,天使轮,2017-12-21 09:04:32
15k-30k,上海,不限,杨浦区,500-2000人,无锡华云数据技术服务有限公司,"移动互联网,数据服务","节日礼物,带薪年假,岗位晋升,扁平管理,","云计算,php,Java,",技术,绩效奖金 年终奖 五险一金 双休,Python,本科,D轮及以上,2017-12-20 09:29:08
10k-20k,上海,1-3年,浦东新区,15-50人,飞榴（上海）信息科技有限公司,"移动互联网,数据服务","带薪年假,股票期权,绩效奖金,五险一金,","全栈,大数据,Java,",开发/测试/运维类,"技术挑战大,团队协作好,工作环境佳,个人成长快",Python开发工程师,本科,A轮,2017-12-20 21:41:36
10k-16k,上海,1-3年,普陀区,500-2000人,上海帝联信息科技股份有限公司,移动互联网,"节日礼物,技能培训,带薪年假,绩效奖金,","云计算,高级,docker,OpenStack,django,",开发/测试/运维类,"办公环境好,技术大咖多,晋升空间大,同事友好",Python开发工程师,本科,D轮及以上,2017-12-20 09:55:42
20k以上,上海,不限,徐汇区,150-500人,竹间智能科技（上海）有限公司,"移动互联网,其他","年底双薪,股票期权,带薪年假,绩效奖金,",,开发/测试/运维类,发展空间大 期权激励 弹性工作,Python 开发工程师,本科,B轮,2017-12-20 17:58:34
20k-35k,上海,3-5年,浦东新区,150-500人,上海基分文化传播有限公司,移动互联网,,"爬虫,",开发/测试/运维类,"六险一金,餐补,平均15薪,不打卡",Python开发工程师,大专,不需要融资,2017-12-20 18:31:43
10k-20k,上海,1-3年,浦东新区,15-50人,上海微麦电子商务发展有限公司,"移动互联网,电子商务","五险一金,带薪年假,绩效奖金,年终分红,","电商,",开发/测试/运维类,"牛人引领,不打卡,薪资高,氛围好",python,本科,A轮,2017-12-20 14:39:45
10k-15k,上海,1-3年,闸北区,15-50人,上海猫空信息技术有限公司,"移动互联网,社交网络","年底双薪,股票期权,年度旅游,扁平管理,","云计算,Java,",开发/测试/运维类,"福利好,发展空间大,年度旅游",Python,本科,A轮,2017-12-20 11:19:14
10k-15k,上海,不限,长宁区,500-2000人,瞬联软件科技（北京）有限公司,"移动互联网 ,企业服务","高薪,节日礼物,弹性工作,带薪年假,","后端开发,自动化,",开发/测试/运维类,五险一金、弹性工作制、带薪年假、内部培训,python开发工程师,本科,不需要融资,2017-12-19 11:33:52
6k-10k,上海,3-5年,浦东新区,150-500人,苏州博纳讯动软件有限公司,"移动互联网,企业服务","凝聚力强,客户群广,发展迅速,团队年轻,","云计算,linux,",开发/测试/运维类,"五险一金,加班补助,弹性工作,绩效奖金",Python开发工程师,本科,B轮,2017-12-19 10:43:58
15k-25k,上海,3-5年,徐汇区,500-2000人,上海青客公共租赁住房租赁经营管理股份有限公司,"移动互联网,O2O","技能培训,年底双薪,专项奖金,股票期权,","云计算,高级,大数据,数据分析,数据挖掘,",开发/测试/运维类,年终奖，加班补贴，工作环境,python工程师,本科,C轮,2017-12-20 10:26:03
15k-25k,上海,5-10年,浦东新区,500-2000人,上海阅文信息技术有限公司,移动互联网,"年终分红,年底双薪,五险一金,交通补助,","资深,高级,",开发/测试/运维类,"团队好,发展快,福利全",Python开发工程师,本科,上市公司,2017-12-20 11:40:09
15K-25K,上海,3-5年,闵行区,50-150人,上海果雪信息科技有限公司,移动互联网,"年底双薪,带薪年假,午餐补助,通讯津贴,","电商,中级,软件开发,Ruby,",开发/测试/运维类,美女多、福利多、技牛、老板nice,python工程师,本科,A轮,2017-12-18 11:09:12
12k-18k,上海,1-3年,黄浦区,500-2000人,上海亮昕网络科技有限公司,"移动互联网,金融","年底双薪,股票期权,带薪年假,交通补助,","运维,linux,Shell,",开发/测试/运维类,"发展前景好,大牛云集,福利暖心,潜力无限",Python开发工程师,大专,A轮,2017-12-20 14:18:04
10k-20k,上海,1-3年,闵行区,150-500人,莉莉丝科技（上海）有限公司,"移动互联网,游戏","都是萌妹子,项目奖金,零食无限量,牛逼的同事,","广告营销,大数据,数据挖掘,hadoop,算法,",开发/测试/运维类,"五险一金,团建旅游,免费健身,年终奖",Python开发工程师,本科,不需要融资,2017-12-20 15:39:08
