salary,city,workYear,district,companySize,companyFullName,industryField,companyLabelList,positionLables,firstType,positionAdvantage,positionName,education,financeStage,createTime
15k-30k,北京,5-10年,朝阳区,2000人以上,北京复华卓越商业管理有限公司,"电子商务,O2O","通讯津贴,午餐补助,美女多,领导好,","广告营销,大数据,数据挖掘,算法,",开发/测试/运维类,提升空间大,Python开发工程师,大专,不需要融资,2017-12-20 10:11:19
15k-20k,北京,1-3年,东城区,500-2000人,北京信达泰和数据技术有限公司,"企业服务,数据服务","节日礼物,股票期权,带薪年假,年度旅游,","房产服务,软件开发,数据分析,算法,",开发/测试/运维类,"五险一金,朝九晚六,交通补贴,餐补",Python开发工程师,硕士,A轮,2017-12-20 11:53:22
15k-30k,北京,3-5年,朝阳区,500-2000人,北京金山网络科技有限公司,"移动互联网,信息安全","带薪年假,美女前台,超赞年终奖,一公里工作圈,","工具软件,MySQL,",技术,公司平台、晋升空间,Python,本科,上市公司,2017-12-20 16:35:58
15k-30k,北京,3-5年,朝阳区,2000人以上,北京奇安信科技有限公司,"电子商务,企业服务","年底双薪,带薪年假,午餐补助,定期体检,","云计算,信息安全,linux,网络安全,",开发/测试/运维类,公司平台好；技术氛围浓；福利待遇优厚,Python开发工程师,本科,不需要融资,2017-12-20 10:41:42
20k-25k,北京,3-5年,海淀区,500-2000人,北京智慧星光信息技术有限公司,数据服务,"五险一金,带薪年假,生日聚会,团队旅游,","中级,爬虫,",开发/测试/运维类,"交通便利,技术氛围好,发展前景好,福利优厚",Python开发,本科,不需要融资,2017-12-19 15:21:57
20k-30k,北京,不限,东城区,500-2000人,北京腾云天下科技有限公司,移动互联网,"精英团队,扁平管理,海量数据,弹性工作,","云计算,软件开发,OpenStack,",开发/测试/运维类,"大数据,独角兽,技术成长,行业大牛",Python工程师J10008,本科,D轮及以上,2017-12-20 17:39:06
20k-30k,北京,5-10年,海淀区,150-500人,北京慕华信息科技有限公司,"移动互联网,教育","节日礼物,股票期权,带薪年假,氛围轻松,","资深,高级,",开发/测试/运维类,"五险一金,餐补,生日会,优秀团队",系统开发工程师（Python）,本科,B轮,2017-12-20 11:11:41
15k-30k,北京,1-3年,朝阳区,500-2000人,北京陌陌科技有限公司,社交网络,"岗位晋升,帅哥多,管理规范,技能培训,","信息安全,",技术,优秀的团队,Python开发工程师,本科,上市公司,2017-12-20 10:16:50
15k-25k,北京,3-5年,海淀区,150-500人,北京点石经纬科技有限公司,"移动互联网,教育","五险一金,带薪年假,节日礼物,年度旅游,","tornado,flask,",开发/测试/运维类,"大牛多,平台好,待遇好,流程规范",Python工程师,本科,B轮,2017-12-20 09:43:30
8k-16k,北京,1-3年,东城区,150-500人,北京汇行科技有限公司,旅游,"股票期权,十四薪,零食饮料水果,团队氛围好,","大数据,Java,算法,爬虫,",技术,包三餐，年终奖，福利优厚,Python开发工程师,本科,B轮,2017-12-19 10:08:42
15k-20k,北京,1-3年,朝阳区,500-2000人,维我软件（上海）有限公司北京分公司,"移动互联网,企业服务","行业领先,超长年假,年度旅游,","云计算,初级,后端开发,web,架构,",开发/测试/运维类,"纽交所上市,云计算,SaaS,生命科学",Python工程师,本科,上市公司,2017-12-20 10:19:45
15k-30k,北京,3-5年,朝阳区,50-150人,北京第三石科技发展有限公司,"移动互联网,电子商务","股票期权,交通补助,带薪年假,扁平管理,","云计算,后端开发,php,Java,MySQL,",开发/测试/运维类,活跃的技术氛围，六险一金，福利多多,Python开发工程师,本科,B轮,2017-12-19 10:19:12
8k-15k,北京,1-3年,海淀区,500-2000人,店商互联（北京）科技发展有限公司,"移动互联网,电子商务","技能培训,年底双薪,节日礼物,绩效奖金,","后端开发,Ruby,",开发/测试/运维类,"临近地铁,平台好,准上市",Python开发工程师,本科,B轮,2017-12-20 15:53:16
15k-30k,北京,1-3年,海淀区,150-500人,北京汉迪移动互联网科技股份有限公司,移动互联网,"节日礼物,年度旅游,定期体检,六险一金,","node.js,Java,后端,",开发/测试/运维类,"六险一金,福利待遇佳,硅谷式办公,免费水果",Python开发工程师,本科,不需要融资,2017-12-20 19:43:48
15k-30k,北京,1-3年,海淀区,50-150人,北京弘道智慧中医技术有限公司,"医疗健康,数据服务",""""",","软件开发,",开发/测试/运维类,AI医疗,Python工程师,本科,不需要融资,2017-12-20 10:07:49
20k-30k,北京,3-5年,朝阳区,500-2000人,维我软件（上海）有限公司北京分公司,"移动互联网,企业服务","行业领先,超长年假,年度旅游,","云计算,高级,后端开发,web,Java,",开发/测试/运维类,"纽交所上市,云计算,SaaS,股票",Python开发工程师,本科,上市公司,2017-12-20 10:19:45
15k-25k,北京,3-5年,海淀区,2000人以上,北京恒昌利通投资管理有限公司,金融,"技能培训,年底双薪,带薪年假,绩效奖金,",,技术,BAT及一线互联网技术团队，公司规模4万人,Python开发工程师,本科,不需要融资,2017-12-18 15:55:43
13k-16k,北京,1-3年,朝阳区,50-150人,北京零用钱科技有限公司,"移动互联网,广告营销","年终分红,股票期权,五险一金,带薪年假,","服务器端,php,Java,MySQL,",开发/测试/运维类,"一日四餐,六险一金,季度奖金,年度奖金",Python,本科,不需要融资,2017-12-20 09:28:51
15k-30k,北京,3-5年,海淀区,50-150人,会找房（北京）网络技术有限公司,移动互联网、金融,"节日礼物,股票期权,带薪年假,年度旅游,","信息安全,高级,中级,php,MySQL,",开发/测试/运维类,"股票期权,弹性工作制,行业龙头,地铁周边",python开发工程师,本科,C轮,2017-12-20 10:38:21
15k-30k,北京,3-5年,朝阳区,150-500人,北京物灵智能科技有限公司,"硬件,移动互联网","带薪年假,定期体检,年终分红,餐补,","智能硬件,高级,linux,C++,架构,",开发/测试/运维类,"人工智能,万物有灵,黑科技,硅谷范",python研发工程师,本科,不需要融资,2017-12-20 15:00:36
20k-30k,北京,3-5年,海淀区,150-500人,北京慕华信息科技有限公司,"移动互联网,教育","节日礼物,股票期权,带薪年假,氛围轻松,","资深,高级,linux,Java,",开发/测试/运维类,"五险一金,餐补,生日会,优秀团队",Python开发工程师,本科,B轮,2017-12-20 11:11:41
10k-20k,北京,1-3年,朝阳区,150-500人,北京作业盒子科技有限公司,"移动互联网,教育","技能培训,年底双薪,节日礼物,年度旅游,","爬虫,数据清洗,数据结构化,",开发/测试/运维类,"五险一金,年终多薪,年度旅游,饭补交通补",Python工程师,本科,C轮,2017-12-19 11:39:44
25k-35k,北京,3-5年,朝阳区,500-2000人,掌阅科技股份有限公司,移动互联网,"专项奖金,带薪年假,年度旅游,扁平管理,","云计算,",开发/测试/运维类,"扁平化管理,福利待遇佳,学习氛围好,晋升空间大",高级Python研发工程师,本科,不需要融资,2017-12-20 14:46:22
