salary,city,workYear,district,companySize,companyFullName,industryField,companyLabelList,positionLables,firstType,positionAdvantage,positionName,education,financeStage,createTime
10k-20k,深圳,3-5年,龙岗区,2000人以上,印孚瑟斯技术（中国）有限公司,移动互联网,"节日礼物,技能培训,免费班车,岗位晋升,","云计算,MySQL,oracle,",开发/测试/运维类,"6险1金,外企,大项目,少加班",Python开发工程师,大专,上市公司,2017-12-20 14:57:43
10k-20k,深圳,3-5年,南山区,15-50人,深圳酷竞科技有限公司,"文化娱乐,游戏","交通补助,绩效奖金,专项奖金,带薪年假,","后端开发,web,",开发/测试/运维类,"涨薪频率快,转正享年假,高颜值团队,丰富下午茶",Python开发工程师,不限,天使轮,2017-12-20 15:17:26
18k-25k,深圳,1-3年,罗湖区,150-500人,深圳众禄金融控股股份有限公司,"移动互联网,金融","股票期权,绩效奖金,带薪年假,通讯津贴,","金融,信息安全,中级,php,web,",开发/测试/运维类,"新三板挂牌,团队氛围,金融中心",Python开发工程师,本科,上市公司,2017-12-18 09:08:23
8k-13k,深圳,不限,南山区,50-150人,深圳米筐科技有限公司,金融,"技能培训,股票期权,带薪年假,年度旅游,","初级,linux,开发及维护,数据库技术,",开发/测试/运维类,"核心投研,交易系统,好学上进,Linux",Python工程师,本科,A轮,2017-12-20 14:28:39
10k-15k,深圳,1-3年,南山区,50-150人,深圳市青柏信息科技有限公司,移动互联网,"带薪年假,年度旅游,领导好,年底双薪,","中级,web,PHP,后端,Node.js,",开发/测试/运维类,"五险一金,年终奖,土豪奖金,国内外旅游",Python研发工程师,本科,A轮,2017-12-20 10:52:56
15k-30k,深圳,3-5年,南山区,150-500人,深圳市乐易网络有限公司,"移动互联网,游戏","技术大牛,高逼格环境,两次年度旅游,福利倍儿好,","高级,后端开发,数据分析,服务器端,全栈,",开发/测试/运维类,"海外手游,高配团队,两次调薪,年终奖",Python,本科,A轮,2017-12-20 09:32:24
15k-30k,深圳,1-3年,南山区,15-50人,深圳爱财科技有限公司,移动互联网,"年底双薪,绩效奖金,定期体检,弹性工作,","旅游,php,Java,Ruby,",开发/测试/运维类,豪门大赏,Python工程师,本科,不需要融资,2017-12-20 16:51:51
8k-15k,深圳,1-3年,福田区,500-2000人,深圳市博悦科创科技有限公司,移动互联网,"年底双薪,定期体检,绩效奖金,技能培训,",,开发/测试/运维类,平台大 福利好,Python,本科,不需要融资,2017-12-20 08:37:19
18k-30k,深圳,3-5年,南山区,2000人以上,腾讯科技(深圳)有限公司,"移动互联网 ,游戏","免费班车,成长空间,年度旅游,岗位晋升,","游戏,云计算,golang,",开发/测试/运维类,"五险一金,带薪休假,绩效奖金",云平台高级开发工程师-Python,本科,上市公司,2017-12-19 09:53:11
12k-18k,深圳,1-3年,南山区,500-2000人,北京千丁互联科技有限公司,O2O,"年底双薪,绩效奖金,岗位晋升,美味三餐,","linux,php,Java,MySQL,",开发/测试/运维类,"五险一金,周末双休",python开发工程师,本科,B轮,2017-12-19 09:44:21
30k-50k,深圳,3-5年,南山区,2000人以上,深圳虾皮信息科技有限公司,电子商务,"定期体检,通讯津贴,带薪年假,绩效奖金,","PHP,Ruby,",开发/测试/运维类,东南亚跨境电商平台，发展非常迅速，求大牛,Python开发工程师（高级）,本科,不需要融资,2017-12-20 10:08:15
15k-28k,深圳,3-5年,福田区,150-500人,深圳市博奥特科技有限公司,"移动互联网,金融","绩效奖金,领导好,帅哥多,美女多,","金融,Java,cobol,",开发/测试/运维类,"发展前景好,双休,互联网金融",Python工程师,大专,未融资,2017-12-20 09:00:33
15k-25k,深圳,5-10年,南山区,50-150人,深圳开黑科技有限公司,"移动互联网,文化娱乐","股票期权,年底双薪,技能培训,五险一金,","信息安全,后端开发,服务器端,php,架构,",开发/测试/运维类,"技术大牛多,福利待遇好,电竞风口,团队稳定",高级Python开发工程师,本科,A轮,2017-12-20 21:58:39
20k-35k,深圳,3-5年,南山区,150-500人,上海航仕企业管理有限公司,"移动互联网,O2O","年底双薪,午餐补助,专项奖金,绩效奖金,",,技术,BAT的薪资福利待遇，更有技术大牛传授技术,Python开发,本科,C轮,2017-12-20 09:36:49
20k-40k,深圳,不限,盐田区,50-150人,深圳码隆科技有限公司,移动互联网,"技术大牛集聚,扁平管理,五险一金,领导好,",,开发/测试/运维类,"海景办公室,技术大牛多,弹性工作制",Python开发工程师,不限,A轮,2017-12-20 14:56:48
10k-15k,深圳,3-5年,南山区,150-500人,深圳市乐易网络有限公司,"移动互联网,游戏","技术大牛,高逼格环境,两次年度旅游,福利倍儿好,","php,MySQL,后端,",开发/测试/运维类,"五险一金,年终奖金",python开发工程师,本科,A轮,2017-12-20 09:32:24
10k-20k,深圳,3-5年,南山区,2000人以上,金蝶软件（中国）有限公司,"移动互联网,电子商务","年底双薪,节日礼物,技能培训,岗位晋升,","大数据,数据挖掘,NLP,自然语言处理,",开发/测试/运维类,发展前景好 公司重视岗位 做5休2,Python开发工程师,本科,上市公司,2017-12-20 09:51:45
8k-14k,深圳,1-3年,福田区,500-2000人,深圳市紫川软件有限公司,"电子商务,金融","节日礼物,年底双薪,绩效奖金,岗位晋升,",,开发/测试/运维类,周末双休 免费体检 员工旅游 五险一金,python工程师,本科,不需要融资,2017-12-20 09:58:47
10k-20k,深圳,1-3年,福田区,150-500人,深圳市博奥特科技有限公司,"移动互联网,金融","绩效奖金,领导好,帅哥多,美女多,","金融,大数据,数据分析,量化,",开发/测试/运维类,"行业前景好,发展空间大",Python,大专,未融资,2017-12-20 08:42:12
20k-40k,深圳,3-5年,盐田区,50-150人,深圳码隆科技有限公司,移动互联网,"技术大牛集聚,扁平管理,五险一金,领导好,","后端开发,",开发/测试/运维类,发展前景广阔,高级Python开发工程师,不限,A轮,2017-12-20 14:56:47
15k-25k,深圳,1-3年,福田区,500-2000人,深圳市中手游网络科技有限公司,"移动互联网,游戏","节日礼物,技能培训,绩效奖金,岗位晋升,","游戏,C++,后端,Erlang,",开发/测试/运维类,"大平台,福利好,牛人多,晋升空间大",sz-Python开发岗,大专,上市公司,2017-12-20 09:27:57
15k-30k,深圳,1-3年,南山区,2000人以上,深圳虾皮信息科技有限公司,电子商务,"定期体检,通讯津贴,带薪年假,绩效奖金,","后端开发,全栈,MySQL,",开发/测试/运维类,东南亚跨境电商平台、福利棒、美女多,Python开发工程师,本科,不需要融资,2017-12-20 10:08:16
12k-20k,深圳,3-5年,南山区,2000人以上,深圳市环球易购电子商务有限公司,电子商务,"节日礼物,股票期权,带薪年假,绩效奖金,","软件开发,",开发/测试/运维类,上市公司,高级python开发工程师,大专,上市公司,2017-12-20 09:19:45
10k-20k,深圳,3-5年,南山区,500-2000人,深圳市东方博雅科技有限公司,"移动互联网,游戏","公平竞争,免息车贷房贷,股权激励,晋升机会,","大数据,Java,redis,架构,golang,",开发/测试/运维类,"上市公司,餐补,免费班车",python开发工程师,本科,上市公司,2017-12-19 11:08:02
8k-10k,深圳,1-3年,南山区,50-150人,达而观信息科技（上海）有限公司,移动互联网,"股票期权,扁平管理,领导好,大牛团队,","C/C++,linux,Shell,Java,",开发/测试/运维类,"六险一金,12天年假,专业培训,技术提升",Python开发工程师,本科,A轮,2017-12-19 14:06:08
16k-23k,深圳,3-5年,南山区,15-50人,深圳市杉岩数据技术有限公司,"企业服务,数据服务","股票期权,扁平管理,领导好,五险一金,","云计算,软件开发,Java,存储,",开发/测试/运维类,"领导好,发展空间大,9点半上班,扁平化管理",高级Python开发工程师,本科,A轮,2017-12-20 13:19:59
15k-30k,深圳,3-5年,南山区,500-2000人,深圳贝尔创意科教有限公司,其他,"专项奖金,绩效奖金,定期体检,节日福利,","后端,flask,PostgreSQL,",开发/测试/运维类,团队牛人,Python 开发,本科,上市公司,2017-12-19 14:41:45
15k-30k,深圳,1-3年,南山区,50-150人,深圳佑驾创新科技有限公司,"硬件,其他","无人驾驶,国际标准,车厂合作,海归团队,",,开发/测试/运维类,"无人驾驶,车厂合作,扁平化管理,股票期权",python工程师,本科,A轮,2017-12-20 10:45:54
